,Ticker,Start Price,End Price,Price Change,Price Change %
344,ATIP,1.415,1.67,0.2549999999999999,18.021201413427555
345,CLAQW,0.39,0.46,0.07,17.94871794871795
346,NOMD,17.55,20.7,3.1499999999999986,17.948717948717942
347,NNVC,1.29,1.52,0.22999999999999998,17.829457364341085
348,TWI,14.76,17.38,2.619999999999999,17.750677506775062
349,ERESW,0.0797,0.0938,0.014100000000000001,17.691342534504393
350,DFFN,6.91,8.13,1.2200000000000006,17.65557163531115
351,RCM,18.93,22.27,3.34,17.64395139989435
352,AERI,5.85,6.88,1.0300000000000002,17.606837606837612
353,TGS,5.52,6.49,0.9700000000000006,17.572463768115956
354,PEI,0.41,0.482,0.07200000000000001,17.5609756097561
355,STNG,24.86,29.21,4.350000000000001,17.497988736926796
356,OXY,58.45,68.66,10.209999999999994,17.467921300256616
357,RNXT,1.55,1.82,0.27,17.419354838709676
358,SSKN,1.04,1.22,0.17999999999999994,17.307692307692303
359,NVAX,40.92,48.0,7.079999999999998,17.30205278592375
360,ALVR,3.7,4.34,0.6399999999999997,17.297297297297288
361,SMHI,7.8701,9.23,1.3599000000000006,17.279323007331556
362,WFRD,26.53,31.11,4.579999999999998,17.26347531096871
363,HARP,2.03,2.38,0.3500000000000001,17.241379310344833
364,MGNI,8.82,10.34,1.5199999999999996,17.233560090702944
365,NRXPW,0.5543,0.6498,0.09550000000000003,17.22893739852066
366,GTBP,1.715,2.01,0.2949999999999997,17.201166180757998
367,SLQT,2.398,2.81,0.4119999999999999,17.180984153461214
368,BENEW,0.3499,0.41,0.06009999999999999,17.176336096027434
369,BPT,14.0,16.4,2.3999999999999986,17.14285714285713
370,ARIS,15.29,17.91,2.620000000000001,17.13538260300851
371,AEMD,0.905,1.06,0.15500000000000003,17.127071823204425
372,CF,92.0,107.75,15.75,17.119565217391305
373,UKOMW,0.0596,0.0698,0.0102,17.114093959731544
374,MAPS,4.85,5.68,0.8300000000000001,17.113402061855673
375,EGLX,1.64,1.92,0.28,17.073170731707318
376,AMBO,0.6022,0.705,0.1028,17.070740617734973
377,FULC,7.09,8.3,1.2100000000000009,17.066290550070534
378,SFL,9.85,11.53,1.6799999999999997,17.055837563451774
379,EVGOW,1.65,1.93,0.28,16.969696969696972
380,VZIO,7.2,8.42,1.2199999999999998,16.94444444444444
381,LFST,5.755,6.73,0.9750000000000005,16.94178974804519
382,MTTR,4.33,5.06,0.7299999999999995,16.859122401847564
383,ZNTL,20.25,23.66,3.41,16.839506172839506
384,HPK,26.03,30.4,4.369999999999997,16.788321167883204
385,PAX,14.37,16.78,2.410000000000002,16.771050800278374
386,NTRA,29.05,33.92,4.870000000000001,16.764199655765925
387,DMLP,24.9331,29.11,4.1769,16.7524295013456
